Authors,Article Title,Source Title,Publication Year,DOI,n_taxa,class,order,market_type,overexploitation_focus,market_price_lower,market_price_upper,currency_unit,longitudinal_price,abundance,abundance_metric,described_rare,rarity_category,price_abundance_link,evidence_aae
"de Sousa, LM; Lucanus, O; Arroyo-Mora, JP; Kalacska, M","Conservation and trade of the endangered Hypancistrus zebra (Siluriformes, Loricariidae), one of the most trafficked Brazilian fish",GLOBAL ECOLOGY AND CONSERVATION,2021,10.1016/j.gecco.2021.e01570,1,actinopterygii,siluriformes,pet,1,8,990,USD,1,1,"conservation,pop_trend",1,"threat,morph",1,1
"Nijman, V; Ardiansyah, A; Hendrik, R; Langgeng, A; Manson, S; Hedger, K; Imron, MA; Nekaris, KAI","Trade in a small-range songbird, the Javan crocias, gives insight into the Asian Songbird Crisis",JOURNAL OF ASIA-PACIFIC BIODIVERSITY,2021,10.1016/j.japb.2021.01.001,1,aves,passeriformes,pet,1,3.67,77.89,USD,1,1,volume,1,"threat,range",0,0
"Arias, M; Hinsley, A; Nogales-Ascarrunz, P; Negroes, N; Glikman, JA; Milner-Gulland, EJ",Prevalence and characteristics of illegal jaguar trade in north-western Bolivia,CONSERVATION SCIENCE AND PRACTICE,2021,10.1111/csp2.444,1,mammalia,carnivora,medicinal,1,2,900,USD,0,0,NA,0,NA,0,NA
"Ayuya, OI; Soma, K; Obwanga, B",Socio-Economic Drivers of Fish Species Consumption Preferences in Kenya's Urban Informal Food System,SUSTAINABILITY,2021,10.3390/su13095278,5,actinopterygii,NA,food,0,2.51,3.77,EUR,0,0,NA,0,NA,0,NA
"Batumike, R; Imani, G; Urom, C; Cuni-Sanchez, A","Bushmeat hunting around Lomami National Park, Democratic Republic of the Congo",ORYX,2021,10.1017/S0030605319001017,18,"mammalia,reptilia",NA,food,1,7,54,USD,0,1,"pop_trend,perception",1,"threat,perception",0,NA
"Cicek, K; Ayaz, D; Afsar, M; Bayrakci, Y; Peksen, CA; Cumhuriyet, O; Ismail, IB; Yenmis, M; Ustundag, E; Tok, CV; Bilgin, CC; Akcakaya, HR",Unsustainable harvest of water frogs in southern Turkey for the European market,ORYX,2021,10.1017/S0030605319000176,1,amphibia,anura,"food,pet",1,0.6,2.6,USD,0,1,"abundance,volume",1,threat,0,NA
"Zanvo, S; Djagoun, SCAM; Azihou, FA; Djossa, B; Sinsin, B; Gaubert, P",Ethnozoological and commercial drivers of the pangolin trade in Benin,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,2021,10.1186/s13002-021-00446-z,1,mammalia,pholidota,"medicinal,food",1,5.01,73.38,USD,0,0,NA,1,threat,0,NA
"Song, ZF; Wang, Q; Miao, Z; Zhang, W; Zhou, XH",The dissemination of relevant information on wildlife utilization and its connection with the illegal trade in wildlife,JOURNAL OF FORESTRY RESEARCH,2022,10.1007/s11676-021-01306-y,1,actinopterygii,acanthuriformes,medicinal,1,3000,12000,USD,0,1,volume,1,"threat,range",0,NA
"Wei, YQ; Zhang, L; Wang, JN; Wang, WW; Niyati, N; Guo, YL; Wang, XF","Chinese caterpillar fungus (Ophiocordyceps sinensis) in China: Current distribution, trading, and futures under climate change and overexploitation",SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2020.142548,1,sordariomycetes,hypocreales,medicinal,1,8780,24640,USD,1,0,NA,1,threat,0,NA
"La Laina, DZ; Nekaris, KAI; Nijman, V; Morcatty, TQ",Illegal online pet trade in venomous snakes and the occurrence of snakebites in Brazil,TOXICON,2021,10.1016/j.toxicon.2021.01.010,16,reptilia,serpentes,pet,0,66.04,113.21,USD,0,1,volume,0,NA,0,NA
"Andersen, SK; Staerk, J; Kalhor, E; Natusch, DJD; da Silva, R; Pfau, B; Conde, DA","Economics, life history and international trade data for seven turtle species in Indonesian and Malaysian farms",DATA IN BRIEF,2021,10.1016/j.dib.2020.106708,7,reptilia,testudines,"pet,food",1,10,500,USD,0,1,volume,1,threat,1,NA
"Akmal, SG; Zamecnikova-Wanma, BPD; Prabowo, RE; Khatami, AM; Novak, J; Petrtyl, M; Kalous, L; Patoka, J",Marine ornamental trade in Indonesia,AQUATIC LIVING RESOURCES,2020,10.1051/alr/2020026,777,"actinopterygii,chondrichthyes,hexacorallia,asteroidea,hexacorallia,gastropoda",NA,pet,1,0.15,700,USD,0,0,NA,1,threat,1,NA
"Banjade, M; Adhikari, P; Oh, HS","Illegal wildlife trade in local markets of Feuang and Mad districts of Vientiane Province, Lao People's Democratic Republic",JOURNAL OF ASIA-PACIFIC BIODIVERSITY,2020,10.1016/j.japb.2020.07.006,22,"mammalia,aves,reptilia,amphibia,insecta",NA,"medicinal,food,collection",1,0.25,300,USD,0,1,conservation,1,threat,1,NA
"Heinrich, S; Toomes, A; Gomez, L",Valuable stones: The trade in porcupine bezoars,GLOBAL ECOLOGY AND CONSERVATION,2020,10.1016/j.gecco.2020.e01204,1,mammalia,rodentia,medicinal,1,119.31,151.8,USD,0,1,conservation,1,threat,0,NA
"Nguyen, T; Roberts, DL",Exploring the Africa-Asia Trade Nexus for Endangered Wildlife Used in Traditional Asian Medicine: Interviews With Traders in South Africa and Vietnam,TROPICAL CONSERVATION SCIENCE,2020,10.1177/1940082920979252,5,mammalia,NA,medicinal,1,NA,NA,NA,0,0,NA,1,threat,0,NA
"Gombeer, S; Nebesse, C; Musaba, P; Ngoy, S; Peeters, M; Vanderheyden, A; Meganck, K; Smitz, N; Geers, F; Van den Heuvel, S; Backeljau, T; De Meyer, M; Verheyen, E","Exploring the bushmeat market in Brussels, Belgium: a clandestine luxury business",BIODIVERSITY AND CONSERVATION,2021,10.1007/s10531-020-02074-7,7,mammalia,NA,food,1,30.77,61.54,EUR,0,0,NA,1,threat,1,NA
"Leupen, BTC; Gomez, L; Shepherd, CR; Nekaris, KAI; Imron, MA; Nijman, V",Thirty years of trade data suggests population declines in a once common songbird in Indonesia,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2020,10.1007/s10344-020-01436-4,1,aves,passeriformes,pet,1,10,55,USD,1,1,volume,1,threat,1,NA
"Atoussi, S; Bergin, D; Razkallah, I; Nijman, V; Bara, M; Bouslama, Z; Houhamdi, M",The trade in the endangered African Grey ParrotPsittacus erithacusand the Timneh ParrotPsittacus timnehin Algeria,OSTRICH,2020,10.2989/00306525.2020.1763492,2,aves,psittaciformes,pet,1,219,1054,USD,0,1,volume,1,threat,0,NA
"Shepherd, CR; Leupen, BTC; Siriwat, P; Nijman, V","International wildlife trade, avian influenza, organised crime and the effectiveness of CITES: The Chinese hwamei as a case study",GLOBAL ECOLOGY AND CONSERVATION,2020,10.1016/j.gecco.2020.e01185,1,aves,passeriformes,pet,1,50,845,USD,1,1,volume,1,threat,1,NA
"Siriwat, P; Nijman, V",Wildlife trade shifts from brick-and-mortar markets to virtual marketplaces: A case study of birds of prey trade in Thailand,JOURNAL OF ASIA-PACIFIC BIODIVERSITY,2020,10.1016/j.japb.2020.03.012,27,aves,"falconiformes,accipitriformes",pet,1,30,576,USD,0,1,"volume,pop_trend",1,threat,1,NA
"Yin, RY; Ye, YC; Newman, C; Buesching, CD; Macdonald, DW; Luo, Y; Zhou, ZM",China's online parrot trade: Generation length and body mass determine sales volume via price,GLOBAL ECOLOGY AND CONSERVATION,2020,10.1016/j.gecco.2020.e01047,46,aves,psittaciformes,pet,1,21,3254,USD,1,1,volume,1,"threat,range",1,NA
"Romero-Vidal, P; Hiraldo, F; Rosseto, F; Blanco, G; Carrete, M; Tella, JL",Opportunistic or Non-Random Wildlife Crime? Attractiveness Rather Than Abundance in the Wild Leads to Selective Parrot Poaching,DIVERSITY-BASEL,2020,10.3390/d12080314,25,aves,psittaciformes,pet,1,5.68,145.22,USD,0,1,abundance,1,abundance,1,NA
"Bauder, JM; Stodola, KW; Benson, TJ; Miller, CA; Allen, ML",Raccoon Pelt Price and Trapper Harvest Relationships Are Temporally Inconsistent,JOURNAL OF WILDLIFE MANAGEMENT,2020,10.1002/jwmg.21928,1,mammalia,carnivora,product,0,3.6,104.89,USD,0,1,volume,0,NA,0,NA
"Bauder, JM; Allen, ML; Ahlers, AA; Benson, TJ; Miller, CA; Stodola, KW",Identifying and Controlling for Variation in Canid Harvest Data,JOURNAL OF WILDLIFE MANAGEMENT,NA,10.1002/jwmg.21919,3,mammalia,carnivora,product,1,23.09,58.09,USD,0,1,volume,0,NA,0,NA
"Janssen, J; Sy, EY",Note on the availability of Philippine Forest Turtle Siebenrockiella leytensis in online reptile markets,PALAWAN SCIENTIST,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Talukdar, S; Sengupta, S",Edible frog species of Nagaland,JOURNAL OF ENVIRONMENTAL BIOLOGY,2020,10.22438/jeb/4(SI)/MS_1918,13,amphibia,anura,medicinal,1,50,150,INR,0,1,"conservation,volume",1,"threat,volume",0,NA
"Booth, H; Pooley, S; Clements, T; Putra, MIH; Lestari, WP; Lewis, S; Warwick, L; Milner-Gulland, E","Assessing the impact of regulations on the use and trade of wildlife: An operational framework, with a case study on manta rays",GLOBAL ECOLOGY AND CONSERVATION,2020,10.1016/j.gecco.2020.e00953,2,chondrichthyes,myliobatiformes,medicinal,1,17,421,NA,1,NA,NA,1,threat,0,NA
"Soares, HKD; Soares, VMD; Lopes, SD; de Lucenal, RFP; Barboza, RRD",Rearing and trade of wild birds in a semiarid region of Brazil,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2020,10.1007/s10668-019-00386-5,36,aves,NA,pet,1,1.29,1288.85,USD,0,1,volume,0,NA,0,NA
"Sharma, S; Sharma, HP; Katuwal, HB; Chaulagain, C; Belant, JL",People's Knowledge of Illegal Chinese Pangolin Trade Routes in Central Nepal,SUSTAINABILITY,2020,10.3390/su12124900,1,mammalia,pholidota,"medicinal,food",1,96,218,USD,1,0,NA,1,threat,0,NA
"D'Cruze, N; Assou, D; Coulthard, E; Norrey, J; Megson, D; Macdonald, DW; Harrington, LA; Ronfot, D; Segniagbeto, GH; Auliya, M","Snake oil and pangolin scales: insights into wild animal use at Marche des Fetiches traditional medicine market, Togo",NATURE CONSERVATION-BULGARIA,2020,10.3897/natureconservation.39.47879,281,"amphibia,aves,mammalia,reptilia",NA,medicinal,1,0.26,765,USD,0,1,"conservation,pop_trend",1,threat,0,NA
"D'Cruze, N; Harrington, LA; Assou, D; Ronfot, D; Macdonald, DW; Segniagbeto, GH; Auliya, M","Searching for snakes: ball python hunting in southern Togo, West Africa",NATURE CONSERVATION-BULGARIA,2020,10.3897/natureconservation.38.47864,1,reptilia,serpentes,pet,1,2,17,USD,0,1,pop_trend,0,NA,0,NA
"Giovos, I; Arculeo, M; Doumpas, N; Katsada, D; Maximiadi, M; Mitsou, E; Paravas, V; Aga-Spyridopoulou, RN; Stoilas, VO; Tiralongo, F; Tsamadias, IE; Vecchioni, L; Moutopoulos, DK","Assessing multiple sources of data to detect illegal fishing, trade and mislabelling of elasmobranchs in Greek markets",MARINE POLICY,2020,10.1016/j.marpol.2019.103730,NA,chondrichthyes,elasmobranchii,food,1,NA,NA,NA,1,1,volume,1,threat,0,NA
"Waseem, M; Raza, A; Aisha, H; Awan, MN; Ahmad, T; Nazir, R; Mahmood, T",Scale of Illegal Killing and Trade Associated with Indian Pangolin (Manis crassicaudata) in Pakistan,PAKISTAN JOURNAL OF ZOOLOGY,2020,10.17582/journal.pjz/2020.52.1.69.77,1,mammalia,pholidota,"medicinal,food",1,50000,60000,Rs,0,0,NA,1,threat,0,NA
"Fernandez, IL; Baez, JC; Rubio, CJ; Munoz, P; Caminas, JA; Macias, D",Climate oscillations effects on market prices of commercially important fish in the northern Alboran Sea,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2020,10.1007/s00484-020-01859-3,3,chondrichthyes,"scombriformes,clupeiformes,carcharhiniformes",food,0,NA,NA,EUR,1,1,volume,0,NA,0,NA
"Gomez, L; Shepherd, CR; Khoo, MS",Illegal trade of sun bear parts in the Malaysian states of Sabah and Sarawak,ENDANGERED SPECIES RESEARCH,2020,10.3354/esr01028,1,mammalia,carnivora,medicinal,1,73,243,USD,0,0,NA,1,threat,0,NA
"Irham, M; Yohanna; Kurniawan, PT",Transaction records as a tool for bird trade monitoring in supporting bird's conservation and sustainable use,3RD INTERNATIONAL CONFERENCE ON BIOSCIENCES,2020,10.1088/1755-1315/457/1/012020,26,aves,NA,pet,1,NA,1396750,Rp,0,1,volume,0,NA,0,NA
"Nijman, V; Ardiansyah, A; Hendrik, R; Imron, MA; Nekaris, KAI","The trade in Rufous-fronted Laughingthrush Garrulax rufifrons in Java, Indonesia",FORKTAIL,2020,NA,1,aves,passeriformes,pet,1,37,1189.3,USD,1,1,volume,1,"threat,range",0,NA
"Siriwat, P; Nekaris, KAI; Nijman, V",Digital media and the modern-day pet trade: a test of the 'Harry Potter effect' and the owl trade in Thailand,ENDANGERED SPECIES RESEARCH,2020,10.3354/esr01006,17,aves,strigiformes,pet,1,12,1676,USD,1,1,volume,1,threat,1,NA
"Wahab, DA; Maulany, RI; Nasri; Nirsyawita","Hunting and trading activities of reticulated python (Python reticulatus) in South Sulawesi, Indonesia: A report from the field",2ND INTERNATIONAL CONFERENCE ON FOOD SECURITY AND SUSTAINABLE AGRICULTURE IN THE TROPICS,2020,10.1088/1755-1315/486/1/012029,1,reptilia,serpentes,product,1,4,6,USD,0,1,pop_trend,0,NA,0,NA
"Janssen, J; Gomez, L",Common Sun Skink Eutropis multifasciata (Kuhl 1820) sold for Traditional Medicine in Indonesia and potential conservation implications,ETHNOBIOLOGY AND CONSERVATION,2019,10.15451/ec2019-11-8.14-1-8,1,reptilia,squamata,medicinal,1,0.99,230,USD,0,0,NA,0,NA,0,NA
"de Mitcheson, YS; To, AWL; Wong, NW; Kwan, HY; Bud, WS","Emerging from the murk: threats, challenges and opportunities for the global swim bladder trade",REVIEWS IN FISH BIOLOGY AND FISHERIES,2019,10.1007/s11160-019-09585-9,NA,actinopterygii,NA,food,1,14,21433,USD,1,0,NA,0,NA,1,NA
"McNamara, J; Fa, JE; Ntiamoa-Baidu, Y",Understanding drivers of urban bushmeat demand in a Ghanaian market,BIOLOGICAL CONSERVATION,2019,10.1016/j.biocon.2019.108291,1,mammalia,rodentia,food,1,1,3,USD,0,0,NA,0,NA,0,NA
"El Bizri, HR; Morcatty, TQ; Valsecchi, J; Mayor, P; Ribeiro, JES; Neto, CFAV; Oliveira, JS; Furtado, KM; Ferreira, UC; Miranda, CFS; Silya, CH; Lopes, VL; Lopes, GP; Florindo, CCF; Chagas, RC; Nijman, V; Fa, JE",Urban wild meat consumption and trade in central Amazonia,CONSERVATION BIOLOGY,2020,10.1111/cobi.13420,21,"mammalia,aves,reptilia",NA,food,1,NA,NA,NA,0,0,NA,0,NA,0,NA
"Gale, SW; Kumar, P; Hinsley, A; Cheuk, ML; Gao, JY; Liu, H; Liu, ZL; Williams, SJ","Quantifying the trade in wild-collected ornamental orchids in South China: Diversity, volume and value gradients underscore the primacy of supply",BIOLOGICAL CONSERVATION,2019,10.1016/j.biocon.2019.108204,266,orchidaceae,NA,pet,1,1,13,USD,0,1,volume,1,threat,1,NA
"McEvoy, JF; Connette, G; Huang, Q; Soe, P; Pyone, KHH; Valitutto, M; Htun, YL; Lin, AN; Thant, AL; Htun, WY; Paing, KH; Swe, KK; Aung, M; Min, S; Songer, M; Leimgruber, P",Two sides of the same coin - Wildmeat consumption and illegal wildlife trade at the crossroads of Asia,BIOLOGICAL CONSERVATION,2019,10.1016/j.biocon.2019.108197,38,"mammalia,reptilia",NA,"food,trophy",1,1.59,317.75,USD,0,1,pop_trend,1,threat,1,NA
"Siriwat, P; Nekaris, KAI; Nijman, V",The role of the anthropogenic Allee effect in the exotic pet trade on Facebook in Thailand,JOURNAL FOR NATURE CONSERVATION,2019,10.1016/j.jnc.2019.125726,42,mammalia,"primates,carnivora",pet,1,56,945,USD,0,1,volume,1,threat,1,NA
"Mihalik, I; Bateman, AW; Darimont, CT",Trophy hunters pay more to target larger-bodied carnivores,ROYAL SOCIETY OPEN SCIENCE,2019,10.1098/rsos.191231,15,mammalia,"ungulata,carnivora",trophy,1,550,1800,USD,0,0,NA,0,NA,1,NA
"Sosnowski, MC; Knowles, TG; Takahashi, T; Rooney, NJ",Global ivory market prices since the 1989 CITES ban,BIOLOGICAL CONSERVATION,2019,10.1016/j.biocon.2019.07.020,1,mammalia,proboscidea,product,1,NA,NA,NA,1,1,volume,1,threat,0,NA
"Zeng, L; Armani, A; Wen, J; Lin, HJ; Xu, YH; Fan, SG; Sun, YL; Yang, CG; Chen, ZM; Chen, DH; Zhao, J; Li, XY",Molecular identification of seahorse and pipefish species sold as dried seafood in China: A market-based survey to highlight the actual needs for a proper trade,FOOD CONTROL,2019,10.1016/j.foodcont.2019.04.007,5,actinopterygii,syngnathidae,medicinal,1,724.6,1965.5,USD,0,0,NA,1,threat,0,NA
"Coad, L; Lim, S; Nuon, L","Wildlife and Livelihoods in the Cardamom Mountains, Cambodia",FRONTIERS IN ECOLOGY AND EVOLUTION,2019,10.3389/fevo.2019.00296,21,"mammalia,reptilia",NA,"food,medicinal",1,7.5,5000,USD,0,0,NA,1,threat,0,NA
"Bomolo, O; Niassy, S; Tanga, CM; Chocha, A; Tartibu, L; Shutcha, MN; Longanza, B; Ekesi, S; Bugeme, DM",The value chain of the edible caterpillar Elaphrodes lactea Gaede (Lepidoptera: Notodontidae) in the Miombo forest of the Democratic Republic of the Congo,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,2019,10.1186/s13002-019-0319-y,1,insecta,lepidoptera,food,1,2.32,5.24,USD,0,0,NA,0,NA,0,NA
"Sanchez-Mercado, A; Cardozo-Urdaneta, A; Moran, L; Ovalle, L; Arvelo, MA; Morales-Campos, J; Coyle, B; Braun, MJ; Rodriguez-Clark, KM",Social network analysis reveals specialized trade in an Endangered songbird,ANIMAL CONSERVATION,2020,10.1111/acv.12514,1,aves,passeriformes,pet,1,40,69,USD,0,0,NA,1,threat,0,NA
"Heinrich, S; Ross, JV; Cassey, P","Of cowboys, fish, and pangolins: US trade in exotic leather",CONSERVATION SCIENCE AND PRACTICE,2019,10.1111/csp2.75,2,"mammalia,actinopterygii","pholidota,osteoglossiformes",product,1,390,12895,USD,0,1,volume,1,threat,0,NA
"Krishna, VV; Darras, K; Grass, I; Mulyani, YA; Prawiradilaga, DM; Tscharntke, T; Qaim, M",Wildlife trade and consumer preference for species rarity: an examination of caged-bird markets in Sumatra,ENVIRONMENT AND DEVELOPMENT ECONOMICS,2019,10.1017/S1355770X19000081,77,aves,NA,pet,1,50000,175000,IDR,1,1,"range,abundance,volume",1,"range,abundance",1,NA
"Farah, N; Boyce, JR",Elephants and mammoths: the effect of an imperfect legal substitute on illegal activity,ENVIRONMENT AND DEVELOPMENT ECONOMICS,2019,10.1017/S1355770X18000554,3,mammalia,"proboscidea,perissodactyla,artiodactyla","product,medicinal",1,2.56,230.58,USD,1,1,volume,1,threat,0,NA
"Alves, RRN; de Araujo, BMC; Policarpo, ID; Pereira, HM; Borges, AKM; Vieira, WLD; Vasconcellos, A",Keeping reptiles as pets in Brazil: Ethnozoological and conservation aspects,JOURNAL FOR NATURE CONSERVATION,2019,10.1016/j.jnc.2019.02.002,69,reptilia,"serpentes,squamata,testudines,crocodilia",pet,1,20,3500,R,0,1,volume,1,threat,1,NA
"Williams, VL; 't Sas-Rolfes, MJ","Born captive: A survey of the lion breeding, keeping and hunting industries in South Africa",PLOS ONE,2019,10.1371/journal.pone.0217409,1,mammalia,carnivora,trophy,1,NA,NA,ZAR,1,1,volume,1,threat,0,NA
"Ngo, HC; Nguyen, TQ; Phan, TQ; van Schingen, M; Ziegler, T",A case study on trade in threatened Tiger Geckos (Goniurosaurus) in Vietnam including updated information on the abundance of the Endangered G-catbaensis,NATURE CONSERVATION-BULGARIA,2019,10.3897/natureconservation.33.33590,1,reptilia,squamata,pet,1,7,365,USD,0,1,"volume,abundance",NA,"threat,abundance",0,NA
"Souto, WMS; Lima, RN; Sousa, BFCF",Illegal bushmeat hunting and trade dynamics in a major road-hub region of the Brazilian Mid North,INDIAN JOURNAL OF TRADITIONAL KNOWLEDGE,2019,NA,14,"aves,reptilia,mammalia","crocodilia,galliformes,anseriformes,nyctibiiformes,artiodactyla,cetartiodactyla,carnivora,cingulata,rodentia,pilosa","food,medicinal",1,3,36.9,USD,0,1,conservation,1,threat,0,NA
"Banzon, EMH; Padilla, MIO; Yan, JP; Cruz, RAL","Proposed categories of bycatch based on an assessment of data from the Anilao Fish Port, Batangas, Philippines",MARINE POLICY,2019,10.1016/j.marpol.2018.10.045,35,actinopterygii,NA,food,1,30,250,PhD,0,1,conservation,1,threat,0,NA
"Janssen, J; Shepherd, CR",Trade in Endangered and Critically Endangered Japanese Herpetofauna Endemic to The Nansei Islands Warrants Increased Protection,CURRENT HERPETOLOGY,2019,10.5358/hsj.38.99,23,"amphibia,reptilia","serpentes,anura,urodela,squamata,testudines",pet,1,125,2500,USD,0,1,"volume,conservation",1,threat,0,NA
"Ilmar, RD; Santoso, N","Utilization of waterbirds by Ujungpangkah Community, Gresik Regency, East Java",2ND INTERNATIONAL CONFERENCE ON INTEGRATED COASTAL MANAGEMENT AND MARINE BIOTECHNOLOGY,2019,10.1088/1755-1315/241/1/012008,19,aves,NA,NA,1,3000,15000,IDR,0,1,conservation,1,threat,0,NA
"Ingram, DJ; Cronin, DT; Challender, DWS; Venditti, DM; Gonder, MK",Characterising trafficking and trade of pangolins in the Gulf of Guinea,GLOBAL ECOLOGY AND CONSERVATION,2019,10.1016/j.gecco.2019.e00576,2,mammalia,pholidota,"food,medicinal",1,NA,NA,CFA,1,1,"volume,conservation",1,threat,1,NA
